comments	label
현재 호텔 주인 심정 아 18 난 마른 하늘에 날 벼락 맞고 호텔 망하게 생겼는데 누군 계속 추모 받네	4
한국적인 미인의 대표적인 분 너무나 곱고 아름다운 모습 그 모습 뒤의 슬픔을 미처 알지 못했네요ㅠ	0
못된 놈들 남의 고통을 즐겼던 놈들 이젠 마땅한 처벌을 받아야지 그래야 공정한 사회자 심은 대로 거두거라	5
1 2화 어설 펐는데 3 4화 지나서부터는 갈수록 너무 재밌던 데	0
1 사람 얼굴 손톱으로 긁은 것은 인격 살해이고 2 동영상이 몰카냐 에 걸리 안 들 생각이 없노	2
10 8 진짜 이 승기랑 비교된다	0
100년 안에 남녀 간 성 전쟁 한번 크게 치른 후 일부다 처제 여성의 정치 참여 금지 여성 투표권 삭제가 세계의 공통 문화로 자리 잡을 듯 암탉이 너무 울어댐	2
10년 뒤 윤서인은 분명히 재평가 될 것임 말 하나 하나가 틀린 게 없음	0
10년 만에 재미를 느끼는 프로였는데 왜 너희들 때문에 폐지를 해야 되냐	1
10년 차 방탄 팬인데 우리 방탄처럼 성공은 못하겠지만 일단 방탄의 부하가 되고 싶다는 거니 이름 기억은 해 둠용	1
10살 차이가 넘을 텐데 부부라고 무슨 내용인지 궁금하네	7
12월이나 1월 이 더 결혼 성수 기지 5월은 여름이라 비수기에 속한다	0
13살 차이면 요즘 세상에 놀랄 일도 아니네요	0
1400억 뜯기고 얼마나 억울했을 꼬 뒤 질 만큼 아플만 하지 ㅋㅋㅋ	1
15년생인 울 아들은 유모차 안 타는 데	0
15살 차이면 어릴 때 사고 쳤으면 딸 벌인데 ㅋㅋ 능력 좋네 전현무 여자들이 전현무 스타일이 좋은 가 봐	3
166에 57 4 다이어트 필요 없지만 건강 위해 더 뺄 거야 다들 더 마르게 봄	0
17년도 아니고 27년이면 진짜 너무 했다 이것이 사랑만으로 가능할 수 있는지 도저히 납득이 가질 않는다	7
180 넘어갈 정도의 길이는 아님 78에서 79180 넘는 애들은 의심 의 구심을 안 하고 안 듦 그래도 비율 좋아 커 보이긴 함	0
180 이하 호빗 한남들은 결혼하지 마세요 ㅋ 돈 없으면 연애도 하지 마세요 ㅋ 너희들 호빗 유전자 받아서 고통 받을 네 후손은 뭔 죄임	2
18킬로 감량을 해야 손뼉 쳐주지 그냥 먹고 싶은 거 다 먹고 디비 져 자 고 하면 18킬로는 그냥 쪄	5
